country,date,sentiment,Imports,Exports,immigrants,percPop,emigrants,kilometers,miles,ideology,rsf
Cabo Verde,2022-04-16,,,,,,,,,,
Canada,2022-04-16,0.2125,251690000.0,155870000.0,8049323.0,21.33,1292329.0,7745.0,4813.0,3.0,
Central African Republic,2022-04-16,,486980.0,1390000.0,88546.0,1.83,816668.0,4744.0,2948.0,1.0,56.0
Chile,2022-04-16,0.0,53730000.0,11210000.0,1645015.0,8.61,643800.0,13753.0,8546.0,3.0,60.0
"Congo, The Democratic Republic of the",2022-04-16,0.65,,,,,,,,,
Costa Rica,2022-04-16,,44190000.0,163770000.0,520729.0,10.22,150241.0,10962.0,6811.0,3.0,85.0
Czechia,2022-04-16,0.25,,,,,,,,,
Denmark,2022-04-16,-0.1,295480000.0,279840000.0,717574.0,12.39,257025.0,1703.0,1058.0,3.0,90.0
Estonia,2022-04-16,0.01944444444444446,173870000.0,163200000.0,199277.0,15.02,206631.0,1205.0,749.0,3.0,19.0
Fiji Islands,2022-04-16,0.0,,,,,,,,,
Finland,2022-04-16,-0.021428571428571443,303210000.0,108100000.0,386052.0,6.97,311889.0,1544.0,959.0,3.0,88.0
France,2022-04-16,-0.02064935064935064,1730000000.0,850250000.0,8524876.0,13.06,2341908.0,2183.0,1356.0,3.0,78.0
Germany,2022-04-16,0.0875,6070000000.0,2790000000.0,15762457.0,18.81,3855268.0,1514.0,941.0,3.0,82.0
Ghana,2022-04-16,0.0,129940000.0,136990000.0,476412.0,1.53,1004324.0,5415.0,3365.0,2.0,67.0
Greece,2022-04-16,,448320000.0,221450000.0,1340456.0,12.86,1088507.0,1276.0,793.0,3.0,55.0
Honduras,2022-04-16,-0.1,7930000.0,5030000.0,39195.0,0.4,985077.0,10640.0,6611.0,1.0,
Iceland,2022-04-16,0.025,127190000.0,1220000.0,65424.0,19.17,43251.0,3445.0,2141.0,3.0,82.0
India,2022-04-16,0.27030303030303027,934540000.0,2510000000.0,4878704.0,0.35,17869492.0,5238.0,3255.0,1.0,
Indonesia,2022-04-16,-0.056249999999999994,414610000.0,734950000.0,355505.0,0.13,4601369.0,9539.0,5927.0,2.0,
Ireland,2022-04-16,0.0,228730000.0,97900000.0,871256.0,17.64,734317.0,2783.0,1729.0,3.0,88.0
Israel,2022-04-16,0.0,211520000.0,711700000.0,1953575.0,22.57,358691.0,1952.0,1213.0,3.0,59.0
Italy,2022-04-16,0.09,2620000000.0,3240000000.0,6386998.0,10.56,3258831.0,1623.0,1008.0,3.0,
Jamaica,2022-04-16,0.0,454190.0,73730.0,23629.0,0.8,1118931.0,9801.0,6090.0,2.0,
Japan,2022-04-16,0.2333333333333333,1210000000.0,341490000.0,2770996.0,2.19,808825.0,8172.0,5078.0,3.0,64.0
Kazakhstan,2022-04-16,0.0,806180000.0,424540000.0,3732073.0,19.88,4203899.0,2626.0,1632.0,1.0,48.0
Kenya,2022-04-16,0.0375,17050000.0,155010000.0,1050147.0,1.95,535348.0,5421.0,3368.0,1.0,
Lithuania,2022-04-16,0.009090909090909045,1230000000.0,553370000.0,145184.0,5.33,658057.0,905.0,562.0,2.0,84.0
Malaysia,2022-04-16,0.0,276460000.0,136390000.0,3476560.0,10.74,1860037.0,8248.0,5125.0,1.0,
Mali,2022-04-16,0.3075,6600000.0,28210000.0,485829.0,2.4,1303511.0,4668.0,2901.0,0.0,54.0
Monaco,2022-04-16,0.0,,,,,,,,,
Netherlands,2022-04-16,0.22999999999999998,962960000.0,2130000000.0,2358333.0,13.76,970403.0,1875.0,1165.0,3.0,77.0
New Zealand,2022-04-16,0.0,23900000.0,11800000.0,1381724.0,28.65,806159.0,17058.0,10599.0,3.0,83.0
Nicaragua,2022-04-16,,1780000.0,183860.0,42167.0,0.64,718154.0,10781.0,6699.0,1.0,37.0
Nigeria,2022-04-16,0.0,8410000.0,153650000.0,1308568.0,0.63,1670455.0,4850.0,3014.0,1.0,46.0
Norway,2022-04-16,0.0,372000000.0,38350000.0,852238.0,15.72,191392.0,1972.0,1225.0,3.0,92.0
Panama,2022-04-16,0.2333333333333333,4300000.0,5000000.0,313165.0,7.26,139520.0,10867.0,6752.0,2.0,
Philippines,2022-04-16,-0.14727272727272725,65280000.0,107530000.0,225525.0,0.21,6094307.0,8985.0,5583.0,1.0,41.0
Poland,2022-04-16,0.625,4890000000.0,4980000000.0,817254.0,2.16,4825096.0,941.0,585.0,2.0,65.0
Portugal,2022-04-16,0.1333333333333333,88960000.0,315640000.0,1001963.0,9.83,2081419.0,3270.0,2032.0,2.0,87.0
Romania,2022-04-16,,796060000.0,1500000000.0,705310.0,3.67,3987093.0,541.0,336.0,2.0,68.0
Russian Federation,2022-04-16,0.0,,,,,,,,,
Saudi Arabia,2022-04-16,0.35,176730000.0,779550000.0,13454842.0,38.65,299268.0,2986.0,1855.0,0.0,33.0
Serbia,2022-04-16,-0.75,191120000.0,195730000.0,823011.0,9.42,1003962.0,919.0,571.0,1.0,61.0
Sierra Leone,2022-04-16,0.0,231790.0,6680000.0,53746.0,0.67,152486.0,5980.0,3716.0,2.0,71.0
Singapore,2022-04-16,1.0,46170000.0,21790000.0,2523648.0,43.14,348464.0,8623.0,5358.0,1.0,44.0
Slovenia,2022-04-16,,279790000.0,67380000.0,277964.0,13.37,160197.0,1243.0,772.0,2.0,68.0
South Africa,2022-04-16,0.5,95950000.0,21870000.0,2860495.0,4.82,914901.0,8816.0,5478.0,2.0,75.0
South Sudan,2022-04-16,0.3,6000.0,3930000.0,882252.0,7.88,2575870.0,4615.0,2868.0,0.0,47.0
Spain,2022-04-16,0.19999999999999998,950390000.0,1640000000.0,6842202.0,14.63,1489823.0,2880.0,1790.0,3.0,76.0
Sri Lanka,2022-04-16,0.0535714285714285,37610000.0,23320000.0,40254.0,0.19,1960025.0,6458.0,4013.0,2.0,42.0
Sudan,2022-04-16,-0.015625,9180000.0,53030000.0,1379147.0,3.15,2104887.0,3950.0,2454.0,0.0,
Sweden,2022-04-16,-0.005729166666666674,717160000.0,106080000.0,2003908.0,19.84,327581.0,1533.0,953.0,3.0,88.0
Switzerland,2022-04-16,0.0,1620000000.0,212250000.0,2491249.0,28.79,713623.0,1722.0,1070.0,3.0,
"Tanzania, United Republic of",2022-04-16,0.0,,,,,,,,,
Thailand,2022-04-16,,252100000.0,262990000.0,3632496.0,5.2,1086985.0,7213.0,4482.0,0.0,50.0
Trinidad and Tobago,2022-04-16,0.1416666666666666,,,,,,,,,
Turkey,2022-04-16,0.065625,3150000000.0,4000000000.0,6052652.0,7.18,3411408.0,1097.0,682.0,1.0,
Uganda,2022-04-16,-0.1,7370000.0,7560000.0,1720313.0,3.76,781440.0,5228.0,3249.0,1.0,
Ukraine,2022-04-16,-0.012987012987013,,,,,,,,,
United Arab Emirates,2022-04-16,0.175,81730000.0,516970000.0,8716332.0,88.13,203214.0,3418.0,2124.0,0.0,44.0
United Kingdom,2022-04-16,-0.0062250322776638434,1080000000.0,1050000000.0,9359587.0,13.79,4732510.0,2470.0,1535.0,3.0,78.0
United States,2022-04-16,0.03147274374176548,3410000000.0,1550000000.0,50632836.0,15.28,2996223.0,9158.0,5691.0,3.0,72.0
Uruguay,2022-04-16,,1860000.0,3200000.0,108267.0,3.12,367060.0,12435.0,7727.0,3.0,72.0
"Venezuela, Bolivarian Republic of",2022-04-16,,,,,,,,,,
Viet Nam,2022-04-16,0.0,,,,,,,,,
Zimbabwe,2022-04-16,0.55,2420000.0,40920.0,416141.0,2.8,1243314.0,7497.0,4658.0,1.0,44.0
Antarctica,2022-04-17,,,,,,,,,,
Argentina,2022-04-17,,60950000.0,33460000.0,2281728.0,5.05,1076148.0,13402.0,8328.0,2.0,77.0
Australia,2022-04-17,0.0326058201058201,154870000.0,61330000.0,7685860.0,30.14,598765.0,12983.0,8067.0,3.0,73.0
Austria,2022-04-17,-0.13541666666666666,828920000.0,904650000.0,1738183.0,19.3,600740.0,1239.0,770.0,2.0,76.0
Belgium,2022-04-17,-0.375,724740000.0,650160000.0,2005479.0,17.3,577463.0,1934.0,1202.0,3.0,78.0
Bosnia and Herzegovina,2022-04-17,,,,,,,,,,
Brazil,2022-04-17,-0.1999999999999999,371310000.0,189410000.0,1079708.0,0.51,1897128.0,10687.0,6641.0,2.0,
Bulgaria,2022-04-17,-0.05,514730000.0,781770000.0,184363.0,2.65,1683626.0,767.0,477.0,2.0,59.0
Canada,2022-04-17,0.22381222943722942,251690000.0,155870000.0,8049323.0,21.33,1292329.0,7745.0,4813.0,3.0,
Chile,2022-04-17,,53730000.0,11210000.0,1645015.0,8.61,643800.0,13753.0,8546.0,3.0,60.0
Colombia,2022-04-17,-0.2,80770000.0,207300000.0,1905393.0,3.74,3024273.0,10754.0,6682.0,2.0,42.0
Czechia,2022-04-17,0.0,,,,,,,,,
Denmark,2022-04-17,0.0,295480000.0,279840000.0,717574.0,12.39,257025.0,1703.0,1058.0,3.0,90.0
Dominican Republic,2022-04-17,0.05,7250000.0,360740000.0,603794.0,5.57,1608567.0,9263.0,5756.0,2.0,
Estonia,2022-04-17,0.023148148148148136,173870000.0,163200000.0,199277.0,15.02,206631.0,1205.0,749.0,3.0,19.0
Finland,2022-04-17,-0.03749999999999998,303210000.0,108100000.0,386052.0,6.97,311889.0,1544.0,959.0,3.0,88.0
France,2022-04-17,0.15214285714285714,1730000000.0,850250000.0,8524876.0,13.06,2341908.0,2183.0,1356.0,3.0,78.0
Georgia,2022-04-17,-0.35,199360000.0,430520000.0,79368.0,1.99,861077.0,1165.0,724.0,2.0,59.0
Germany,2022-04-17,0.075,6070000000.0,2790000000.0,15762457.0,18.81,3855268.0,1514.0,941.0,3.0,82.0
Ghana,2022-04-17,,129940000.0,136990000.0,476412.0,1.53,1004324.0,5415.0,3365.0,2.0,67.0
Greece,2022-04-17,0.0,448320000.0,221450000.0,1340456.0,12.86,1088507.0,1276.0,793.0,3.0,55.0
Greenland,2022-04-17,0.5,9900000.0,6830.0,5899.0,10.39,17866.0,4428.0,2751.0,,
Honduras,2022-04-17,,7930000.0,5030000.0,39195.0,0.4,985077.0,10640.0,6611.0,1.0,
India,2022-04-17,0.30625,934540000.0,2510000000.0,4878704.0,0.35,17869492.0,5238.0,3255.0,1.0,
Indonesia,2022-04-17,,414610000.0,734950000.0,355505.0,0.13,4601369.0,9539.0,5927.0,2.0,
Ireland,2022-04-17,0.0,228730000.0,97900000.0,871256.0,17.64,734317.0,2783.0,1729.0,3.0,88.0
Italy,2022-04-17,0.0,2620000000.0,3240000000.0,6386998.0,10.56,3258831.0,1623.0,1008.0,3.0,
Jamaica,2022-04-17,-0.75,454190.0,73730.0,23629.0,0.8,1118931.0,9801.0,6090.0,2.0,
Japan,2022-04-17,0.0,1210000000.0,341490000.0,2770996.0,2.19,808825.0,8172.0,5078.0,3.0,64.0
Kenya,2022-04-17,,17050000.0,155010000.0,1050147.0,1.95,535348.0,5421.0,3368.0,1.0,
Kiribati,2022-04-17,,,,3126.0,2.62,5103.0,14367.0,8927.0,,
Latvia,2022-04-17,,203900000.0,282460000.0,239422.0,12.69,380010.0,1043.0,648.0,3.0,79.0
Mali,2022-04-17,0.1,6600000.0,28210000.0,485829.0,2.4,1303511.0,4668.0,2901.0,0.0,54.0
Malta,2022-04-17,-0.1333333333333333,17620000.0,30370000.0,114760.0,25.99,102793.0,1949.0,1211.0,2.0,61.0
Monaco,2022-04-17,0.25625,,,,,,,,,
Mongolia,2022-04-17,0.0,329570.0,25110000.0,21345.0,0.65,82098.0,1112.0,691.0,2.0,59.0
Morocco,2022-04-17,,125600000.0,520870000.0,102358.0,0.28,3262222.0,3687.0,2291.0,0.0,
Nepal,2022-04-17,0.4,31580.0,20470000.0,487564.0,1.67,2599701.0,5001.0,3107.0,2.0,62.0
Netherlands,2022-04-17,-0.10083333333333333,962960000.0,2130000000.0,2358333.0,13.76,970403.0,1875.0,1165.0,3.0,77.0
Nigeria,2022-04-17,0.16666666666666666,8410000.0,153650000.0,1308568.0,0.63,1670455.0,4850.0,3014.0,1.0,46.0
Norway,2022-04-17,0.1,372000000.0,38350000.0,852238.0,15.72,191392.0,1972.0,1225.0,3.0,92.0
Pakistan,2022-04-17,0.5,91970000.0,572620000.0,3276580.0,1.48,6328400.0,3787.0,2353.0,1.0,37.0
Philippines,2022-04-17,0.1,65280000.0,107530000.0,225525.0,0.21,6094307.0,8985.0,5583.0,1.0,41.0
Poland,2022-04-17,-0.09375,4890000000.0,4980000000.0,817254.0,2.16,4825096.0,941.0,585.0,2.0,65.0
Portugal,2022-04-17,0.1094907407407407,88960000.0,315640000.0,1001963.0,9.83,2081419.0,3270.0,2032.0,2.0,87.0
Romania,2022-04-17,0.1363636363636363,796060000.0,1500000000.0,705310.0,3.67,3987093.0,541.0,336.0,2.0,68.0
Saint Lucia,2022-04-17,0.25,,,,,,,,,
Samoa,2022-04-17,0.0,,4580.0,4021.0,2.03,135732.0,15611.0,9700.0,,
Sierra Leone,2022-04-17,0.36111111111111116,231790.0,6680000.0,53746.0,0.67,152486.0,5980.0,3716.0,2.0,71.0
Singapore,2022-04-17,-0.0333333333333333,46170000.0,21790000.0,2523648.0,43.14,348464.0,8623.0,5358.0,1.0,44.0
Slovakia,2022-04-17,0.0,927180000.0,948560000.0,197161.0,3.61,419651.0,844.0,524.0,2.0,78.0
Slovenia,2022-04-17,,279790000.0,67380000.0,277964.0,13.37,160197.0,1243.0,772.0,2.0,68.0
Spain,2022-04-17,-0.05625,950390000.0,1640000000.0,6842202.0,14.63,1489823.0,2880.0,1790.0,3.0,76.0
Swaziland,2022-04-17,0.0,471410.0,22400.0,,,,8329.0,5175.0,,
Sweden,2022-04-17,-0.11666666666666665,717160000.0,106080000.0,2003908.0,19.84,327581.0,1533.0,953.0,3.0,88.0
"Taiwan, Province of China",2022-04-17,0.0,,,,,,,,,
Thailand,2022-04-17,,252100000.0,262990000.0,3632496.0,5.2,1086985.0,7213.0,4482.0,0.0,50.0
Trinidad and Tobago,2022-04-17,0.0,,,,,,,,,
Turkey,2022-04-17,-0.0625,3150000000.0,4000000000.0,6052652.0,7.18,3411408.0,1097.0,682.0,1.0,
Uganda,2022-04-17,,7370000.0,7560000.0,1720313.0,3.76,781440.0,5228.0,3249.0,1.0,
Ukraine,2022-04-17,0.08472222222222223,,,,,,,,,
United Kingdom,2022-04-17,0.08457556935817806,1080000000.0,1050000000.0,9359587.0,13.79,4732510.0,2470.0,1535.0,3.0,78.0
United States,2022-04-17,0.07559862012987012,3410000000.0,1550000000.0,50632836.0,15.28,2996223.0,9158.0,5691.0,3.0,72.0
"Venezuela, Bolivarian Republic of",2022-04-17,0.5,,,,,,,,,
Viet Nam,2022-04-17,0.0,,,,,,,,,
Albania,2022-04-18,0.35,6810000.0,39770000.0,48810.0,1.7,1250451.0,1181.0,734.0,1.0,56.0
Algeria,2022-04-18,,44780000.0,410230000.0,250378.0,0.57,2022337.0,3392.0,2108.0,1.0,45.0
Argentina,2022-04-18,0.0,60950000.0,33460000.0,2281728.0,5.05,1076148.0,13402.0,8328.0,2.0,77.0
Australia,2022-04-18,0.18159722222222222,154870000.0,61330000.0,7685860.0,30.14,598765.0,12983.0,8067.0,3.0,73.0
Austria,2022-04-18,0.0,828920000.0,904650000.0,1738183.0,19.3,600740.0,1239.0,770.0,2.0,76.0
Bangladesh,2022-04-18,0.0,123310000.0,250570000.0,2115408.0,1.28,7401763.0,5813.0,3612.0,1.0,36.0
Belgium,2022-04-18,,724740000.0,650160000.0,2005479.0,17.3,577463.0,1934.0,1202.0,3.0,78.0
Bosnia and Herzegovina,2022-04-18,,,,,,,,,,
Brazil,2022-04-18,0.1,371310000.0,189410000.0,1079708.0,0.51,1897128.0,10687.0,6641.0,2.0,
Canada,2022-04-18,0.20750000000000002,251690000.0,155870000.0,8049323.0,21.33,1292329.0,7745.0,4813.0,3.0,
China,2022-04-18,-0.05,10640000000.0,7990000000.0,1039675.0,0.07,10461170.0,5947.0,3695.0,0.0,25.0
Cyprus,2022-04-18,0.8,32570000.0,46310000.0,190366.0,15.77,173210.0,1485.0,923.0,3.0,65.0
Denmark,2022-04-18,-0.2875,295480000.0,279840000.0,717574.0,12.39,257025.0,1703.0,1058.0,3.0,90.0
Estonia,2022-04-18,0.075,173870000.0,163200000.0,199277.0,15.02,206631.0,1205.0,749.0,3.0,19.0
Fiji Islands,2022-04-18,0.0,,,,,,,,,
Finland,2022-04-18,0.0,303210000.0,108100000.0,386052.0,6.97,311889.0,1544.0,959.0,3.0,88.0
France,2022-04-18,0.05648148148148148,1730000000.0,850250000.0,8524876.0,13.06,2341908.0,2183.0,1356.0,3.0,78.0
Germany,2022-04-18,0.053333333333333344,6070000000.0,2790000000.0,15762457.0,18.81,3855268.0,1514.0,941.0,3.0,82.0
Honduras,2022-04-18,0.0,7930000.0,5030000.0,39195.0,0.4,985077.0,10640.0,6611.0,1.0,
India,2022-04-18,0.11344696969696966,934540000.0,2510000000.0,4878704.0,0.35,17869492.0,5238.0,3255.0,1.0,
Indonesia,2022-04-18,,414610000.0,734950000.0,355505.0,0.13,4601369.0,9539.0,5927.0,2.0,
Italy,2022-04-18,-0.037500000000000026,2620000000.0,3240000000.0,6386998.0,10.56,3258831.0,1623.0,1008.0,3.0,
Japan,2022-04-18,0.2625,1210000000.0,341490000.0,2770996.0,2.19,808825.0,8172.0,5078.0,3.0,64.0
Latvia,2022-04-18,0.15,203900000.0,282460000.0,239422.0,12.69,380010.0,1043.0,648.0,3.0,79.0
Lithuania,2022-04-18,0.275,1230000000.0,553370000.0,145184.0,5.33,658057.0,905.0,562.0,2.0,84.0
Malaysia,2022-04-18,0.0,276460000.0,136390000.0,3476560.0,10.74,1860037.0,8248.0,5125.0,1.0,
Mali,2022-04-18,0.25,6600000.0,28210000.0,485829.0,2.4,1303511.0,4668.0,2901.0,0.0,54.0
Malta,2022-04-18,0.0,17620000.0,30370000.0,114760.0,25.99,102793.0,1949.0,1211.0,2.0,61.0
Mexico,2022-04-18,-0.0625,299680000.0,188570000.0,1197624.0,0.93,11185737.0,10779.0,6698.0,2.0,47.0
Namibia,2022-04-18,-1.1102230246251566e-17,418360.0,331430.0,109391.0,4.31,47770.0,8032.0,4991.0,2.0,81.0
Nepal,2022-04-18,,31580.0,20470000.0,487564.0,1.67,2599701.0,5001.0,3107.0,2.0,62.0
Netherlands,2022-04-18,0.025,962960000.0,2130000000.0,2358333.0,13.76,970403.0,1875.0,1165.0,3.0,77.0
Nigeria,2022-04-18,-0.15,8410000.0,153650000.0,1308568.0,0.63,1670455.0,4850.0,3014.0,1.0,46.0
Pakistan,2022-04-18,0.0,91970000.0,572620000.0,3276580.0,1.48,6328400.0,3787.0,2353.0,1.0,37.0
Philippines,2022-04-18,-0.2625,65280000.0,107530000.0,225525.0,0.21,6094307.0,8985.0,5583.0,1.0,41.0
Poland,2022-04-18,0.1366161616161616,4890000000.0,4980000000.0,817254.0,2.16,4825096.0,941.0,585.0,2.0,65.0
Portugal,2022-04-18,-0.022222222222222206,88960000.0,315640000.0,1001963.0,9.83,2081419.0,3270.0,2032.0,2.0,87.0
Romania,2022-04-18,0.0,796060000.0,1500000000.0,705310.0,3.67,3987093.0,541.0,336.0,2.0,68.0
Saint Lucia,2022-04-18,-0.1,,,,,,,,,
Sierra Leone,2022-04-18,-0.5,231790.0,6680000.0,53746.0,0.67,152486.0,5980.0,3716.0,2.0,71.0
Singapore,2022-04-18,,46170000.0,21790000.0,2523648.0,43.14,348464.0,8623.0,5358.0,1.0,44.0
Somalia,2022-04-18,-0.875,3490000.0,21610000.0,58590.0,0.37,2034221.0,5014.0,3116.0,0.0,44.0
South Sudan,2022-04-18,0.1363636363636363,6000.0,3930000.0,882252.0,7.88,2575870.0,4615.0,2868.0,0.0,47.0
Spain,2022-04-18,0.03333333333333333,950390000.0,1640000000.0,6842202.0,14.63,1489823.0,2880.0,1790.0,3.0,76.0
Sudan,2022-04-18,0.0,9180000.0,53030000.0,1379147.0,3.15,2104887.0,3950.0,2454.0,0.0,
Sweden,2022-04-18,0.06666666666666664,717160000.0,106080000.0,2003908.0,19.84,327581.0,1533.0,953.0,3.0,88.0
Switzerland,2022-04-18,0.1875,1620000000.0,212250000.0,2491249.0,28.79,713623.0,1722.0,1070.0,3.0,
Tajikistan,2022-04-18,-0.0666666666666666,1020000.0,22020000.0,276031.0,2.89,586851.0,3354.0,2084.0,1.0,
Thailand,2022-04-18,,252100000.0,262990000.0,3632496.0,5.2,1086985.0,7213.0,4482.0,0.0,50.0
Trinidad and Tobago,2022-04-18,0.1,,,,,,,,,
Ukraine,2022-04-18,0.006168831168831157,,,,,,,,,
United Arab Emirates,2022-04-18,0.1875,81730000.0,516970000.0,8716332.0,88.13,203214.0,3418.0,2124.0,0.0,44.0
United Kingdom,2022-04-18,0.12341666666666667,1080000000.0,1050000000.0,9359587.0,13.79,4732510.0,2470.0,1535.0,3.0,78.0
United States,2022-04-18,0.07083282283753982,3410000000.0,1550000000.0,50632836.0,15.28,2996223.0,9158.0,5691.0,3.0,72.0
"Venezuela, Bolivarian Republic of",2022-04-18,,,,,,,,,,
Viet Nam,2022-04-18,0.0,,,,,,,,,
Argentina,2022-04-19,,60950000.0,33460000.0,2281728.0,5.05,1076148.0,13402.0,8328.0,2.0,77.0
Australia,2022-04-19,0.25,154870000.0,61330000.0,7685860.0,30.14,598765.0,12983.0,8067.0,3.0,73.0
Austria,2022-04-19,0.05,828920000.0,904650000.0,1738183.0,19.3,600740.0,1239.0,770.0,2.0,76.0
Bahamas,2022-04-19,0.23333333333333334,12600.0,197610.0,63583.0,16.17,53793.0,9211.0,5723.0,,
Belgium,2022-04-19,0.0,724740000.0,650160000.0,2005479.0,17.3,577463.0,1934.0,1202.0,3.0,78.0
Brazil,2022-04-19,0.0,371310000.0,189410000.0,1079708.0,0.51,1897128.0,10687.0,6641.0,2.0,
Cambodia,2022-04-19,0.0,26730000.0,2370000.0,79341.0,0.47,1104819.0,7775.0,4831.0,1.0,43.0
Canada,2022-04-19,0.006336088154269973,251690000.0,155870000.0,8049323.0,21.33,1292329.0,7745.0,4813.0,3.0,
Colombia,2022-04-19,-0.125,80770000.0,207300000.0,1905393.0,3.74,3024273.0,10754.0,6682.0,2.0,42.0
Czechia,2022-04-19,-0.0318181818181818,,,,,,,,,
Côte d'Ivoire,2022-04-19,0.1363636363636363,,,,,,,,,
Estonia,2022-04-19,0.375,173870000.0,163200000.0,199277.0,15.02,206631.0,1205.0,749.0,3.0,19.0
Finland,2022-04-19,,303210000.0,108100000.0,386052.0,6.97,311889.0,1544.0,959.0,3.0,88.0
France,2022-04-19,0.3,1730000000.0,850250000.0,8524876.0,13.06,2341908.0,2183.0,1356.0,3.0,78.0
Georgia,2022-04-19,,199360000.0,430520000.0,79368.0,1.99,861077.0,1165.0,724.0,2.0,59.0
Germany,2022-04-19,-0.04200680272108841,6070000000.0,2790000000.0,15762457.0,18.81,3855268.0,1514.0,941.0,3.0,82.0
Greece,2022-04-19,0.1602272727272727,448320000.0,221450000.0,1340456.0,12.86,1088507.0,1276.0,793.0,3.0,55.0
Holy See (Vatican City State),2022-04-19,0.0541666666666666,,,,,,,,,
Honduras,2022-04-19,0.0,7930000.0,5030000.0,39195.0,0.4,985077.0,10640.0,6611.0,1.0,
Iceland,2022-04-19,0.0,127190000.0,1220000.0,65424.0,19.17,43251.0,3445.0,2141.0,3.0,82.0
India,2022-04-19,-0.07152777777777775,934540000.0,2510000000.0,4878704.0,0.35,17869492.0,5238.0,3255.0,1.0,
Indonesia,2022-04-19,,414610000.0,734950000.0,355505.0,0.13,4601369.0,9539.0,5927.0,2.0,
Ireland,2022-04-19,0.0,228730000.0,97900000.0,871256.0,17.64,734317.0,2783.0,1729.0,3.0,88.0
Israel,2022-04-19,,211520000.0,711700000.0,1953575.0,22.57,358691.0,1952.0,1213.0,3.0,59.0
Italy,2022-04-19,0.0,2620000000.0,3240000000.0,6386998.0,10.56,3258831.0,1623.0,1008.0,3.0,
Jamaica,2022-04-19,0.0,454190.0,73730.0,23629.0,0.8,1118931.0,9801.0,6090.0,2.0,
Japan,2022-04-19,0.20555555555555552,1210000000.0,341490000.0,2770996.0,2.19,808825.0,8172.0,5078.0,3.0,64.0
Kenya,2022-04-19,-0.2,17050000.0,155010000.0,1050147.0,1.95,535348.0,5421.0,3368.0,1.0,
Kiribati,2022-04-19,0.0,,,3126.0,2.62,5103.0,14367.0,8927.0,,
Latvia,2022-04-19,0.0,203900000.0,282460000.0,239422.0,12.69,380010.0,1043.0,648.0,3.0,79.0
Malaysia,2022-04-19,0.0,276460000.0,136390000.0,3476560.0,10.74,1860037.0,8248.0,5125.0,1.0,
Maldives,2022-04-19,0.0,1290000.0,2980000.0,70079.0,12.96,3715.0,6552.0,4071.0,2.0,
Mexico,2022-04-19,0.075,299680000.0,188570000.0,1197624.0,0.93,11185737.0,10779.0,6698.0,2.0,47.0
Mongolia,2022-04-19,0.5,329570.0,25110000.0,21345.0,0.65,82098.0,1112.0,691.0,2.0,59.0
Netherlands,2022-04-19,0.0,962960000.0,2130000000.0,2358333.0,13.76,970403.0,1875.0,1165.0,3.0,77.0
New Zealand,2022-04-19,-0.0625,23900000.0,11800000.0,1381724.0,28.65,806159.0,17058.0,10599.0,3.0,83.0
Nigeria,2022-04-19,,8410000.0,153650000.0,1308568.0,0.63,1670455.0,4850.0,3014.0,1.0,46.0
Norway,2022-04-19,0.0,372000000.0,38350000.0,852238.0,15.72,191392.0,1972.0,1225.0,3.0,92.0
Pakistan,2022-04-19,0.0,91970000.0,572620000.0,3276580.0,1.48,6328400.0,3787.0,2353.0,1.0,37.0
"Palestine, State of",2022-04-19,0.0,,,,,,,,,
Philippines,2022-04-19,0.09732142857142856,65280000.0,107530000.0,225525.0,0.21,6094307.0,8985.0,5583.0,1.0,41.0
Poland,2022-04-19,-0.17499999999999993,4890000000.0,4980000000.0,817254.0,2.16,4825096.0,941.0,585.0,2.0,65.0
Portugal,2022-04-19,0.0,88960000.0,315640000.0,1001963.0,9.83,2081419.0,3270.0,2032.0,2.0,87.0
Romania,2022-04-19,0.4,796060000.0,1500000000.0,705310.0,3.67,3987093.0,541.0,336.0,2.0,68.0
Russian Federation,2022-04-19,,,,,,,,,,
Saint Kitts and Nevis,2022-04-19,0.0,,,,,,,,,
Sierra Leone,2022-04-19,,231790.0,6680000.0,53746.0,0.67,152486.0,5980.0,3716.0,2.0,71.0
Slovenia,2022-04-19,0.14375,279790000.0,67380000.0,277964.0,13.37,160197.0,1243.0,772.0,2.0,68.0
South Africa,2022-04-19,-0.0416666666666666,95950000.0,21870000.0,2860495.0,4.82,914901.0,8816.0,5478.0,2.0,75.0
Spain,2022-04-19,0.03,950390000.0,1640000000.0,6842202.0,14.63,1489823.0,2880.0,1790.0,3.0,76.0
Sweden,2022-04-19,-0.037037037037037035,717160000.0,106080000.0,2003908.0,19.84,327581.0,1533.0,953.0,3.0,88.0
Switzerland,2022-04-19,-0.125,1620000000.0,212250000.0,2491249.0,28.79,713623.0,1722.0,1070.0,3.0,
Syrian Arab Republic,2022-04-19,,,,,,,,,,
"Tanzania, United Republic of",2022-04-19,0.0333333333333333,,,,,,,,,
Thailand,2022-04-19,0.0,252100000.0,262990000.0,3632496.0,5.2,1086985.0,7213.0,4482.0,0.0,50.0
Trinidad and Tobago,2022-04-19,0.0583333333333333,,,,,,,,,
Tunisia,2022-04-19,,41870000.0,386050000.0,60145.0,0.51,902268.0,2409.0,1497.0,,58.0
Turkey,2022-04-19,,3150000000.0,4000000000.0,6052652.0,7.18,3411408.0,1097.0,682.0,1.0,
Uganda,2022-04-19,0.0,7370000.0,7560000.0,1720313.0,3.76,781440.0,5228.0,3249.0,1.0,
Ukraine,2022-04-19,0.08012820512820512,,,,,,,,,
